Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
7779059,"Side Jobs (The Dresden Files, #12.5)",Jim Butcher,"Butcher, Jim",,"=""045146365X""","=""9780451463654""",4,4.26,Roc,Hardcover,418,2010,2010,,2014/09/04,,,read,,,,1,,,0,,,,,
4699575,"Daemon (Daemon, #1)",Daniel Suarez,"Suarez, Daniel",,"=""0525951113""","=""9780525951117""",4,4.16,Dutton Books,Hardcover,432,2009,2006,,2014/09/04,,,read,,,,1,,,0,,,,,
7132363,"Freedom™ (Daemon, #2)",Daniel Suarez,"Suarez, Daniel",,"=""0525951571""","=""9780525951575""",4,4.27,Dutton Books,Hardcover,406,2010,2010,,2014/09/04,,,read,,,,1,,,0,,,,,
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.","Francis Ledoux, Maria Skibniewska","=""0618346252""","=""9780618346257""",3,4.37,Houghton Mifflin Harcourt,Paperback,398,2003,1954,,2014/09/04,,,read,,,,1,,,0,,,,,
28850,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",Rob Inglis,"=""0788789848""","=""9780788789847""",3,4.54,"Recorded Books, Inc.",Audio CD,,2001,1955,,2014/09/04,,,read,,,,1,,,0,,,,,
93124,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""0747581088""","=""9780747581086""",5,4.57,Bloomsbury Publishing,Hardcover,607,2005,2005,,2014/09/04,,,read,,,,1,,,0,,,,,
12216302,"Cold Days (The Dresden Files, #14)",Jim Butcher,"Butcher, Jim",,"=""0451464400""","=""9780451464408""",5,4.47,Penguin Group (USA),Hardcover,515,2012,2012,,2014/09/04,,,read,,,,1,,,0,,,,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2014/09/04,,,read,,,,1,,,0,,,,,
823,"Quicksilver (The Baroque Cycle, #1)",Neal Stephenson,"Stephenson, Neal",,"=""0060593083""","=""9780060593087""",0,3.90,HarperCollins Perennial,Paperback,927,2004,2003,,2014/09/04,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
60212,The Knight (The Wizard Knight #1),Gene Wolfe,"Wolfe, Gene",,"=""0765347016""","=""9780765347015""",0,3.75,Tor Books,Paperback,544,2010,2004,,2014/09/04,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
60211,"The Shadow of the Torturer (The Book of the New Sun, #1)",Gene Wolfe,"Wolfe, Gene",,"=""0671540661""","=""9780671540661""",0,3.81,Pocket Books,Paperback,262,1984,1980,,2014/09/04,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316889""","=""9780765316882""",5,4.37,Tor Books,Hardcover,590,2007,2007,,2014/09/04,,,read,,,,1,,,0,,,,,
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",5,4.46,Tor Books,Hardcover,541,2006,2006,,2014/09/04,,,read,,,,1,,,0,,,,,
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316897""","=""9780765316899""",5,4.50,Tor Books,Hardcover,572,2008,2008,,2014/09/04,,,read,,,,1,,,0,,,,,
10803121,"The Alloy of Law (Mistborn, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765330423""","=""9780765330420""",5,4.20,Tor Books,Hardcover,332,2011,2011,,2014/09/04,,,read,,,,1,,,0,,,,,
78129,"Killing Floor (Jack Reacher, #1)",Lee Child,"Child, Lee",,"=""0515141429""","=""9780515141429""",4,4.06,Jove,Mass Market Paperback,474,2006,1997,,2014/09/04,,,read,,,,1,,,0,,,,,
220969,"Die Trying (Jack Reacher, #2)",Lee Child,"Child, Lee",,"=""0515142247""","=""9780515142242""",4,4.05,Jove,Mass Market Paperback,552,2008,1998,,2014/09/04,,,read,,,,1,,,0,,,,,
11950840,"Kaibab Unbound  (The Iron Druid Chronicles , #0.6)",Kevin Hearne,"Hearne, Kevin",,"=""0730497992""","=""9780730497998""",3,4.02,Kevin Hearne,ebook,17,2011,2011,,2014/09/04,,,read,,,,1,,,0,,,,,
13145815,A Test of Mettle (The Iron Druid Chronicles #3.5),Kevin Hearne,"Hearne, Kevin",,"=""""","=""""",3,3.98,,ebook,10,2011,2011,,2014/09/04,,,read,,,,1,,,0,,,,,
10324651,"Clan Rathskeller (The Iron Druid Chronicles, #0.5)",Kevin Hearne,"Hearne, Kevin",,"=""""","=""""",3,3.94,,ebook,18,2010,2010,,2014/09/04,,,read,,,,1,,,0,,,,,
16280685,"The Grimoire of the Lamb (The Iron Druid Chronicles, #0.4)",Kevin Hearne,"Hearne, Kevin",,"=""0345548299""","=""9780345548290""",3,4.15,Del Rey,ebook,64,2013,2013,,2014/09/04,,,read,,,,1,,,0,,,,,
15728721,Two Ravens and One Crow (The Iron Druid Chronicles #4.3),Kevin Hearne,"Hearne, Kevin",,"=""0385366434""","=""9780385366434""",3,4.20,Del Rey,ebook,65,2012,2012,,2014/09/04,,,read,,,,1,,,0,,,,,
16071748,"Hunted (The Iron Druid Chronicles, #6)",Kevin Hearne,"Hearne, Kevin",,"=""0345533631""","=""9780345533630""",4,4.29,Del Rey,Mass Market Paperback,384,2013,2013,,2014/09/04,,,read,,,,1,,,0,,,,,
13536649,"Trapped (The Iron Druid Chronicles, #5)",Kevin Hearne,"Hearne, Kevin",,"=""034553364X""","=""9780345533647""",4,4.27,Del Rey,Mass Market Paperback,290,2012,2012,,2014/09/04,,,read,,,,1,,,0,,,,,
12700306,"Tricked (The Iron Druid Chronicles, #4)",Kevin Hearne,"Hearne, Kevin",,"=""0345533623""","=""9780345533623""",4,4.25,Random House Publishing Group,Mass Market Paperback,341,2012,2012,,2014/09/04,,,read,,,,1,,,0,,,,,
9595620,"Hammered (The Iron Druid Chronicles, #3)",Kevin Hearne,"Hearne, Kevin",,"=""0345522486""","=""9780345522481""",4,4.21,Random House Publishing Group,Mass Market Paperback,312,2011,2011,,2014/09/04,,,read,,,,1,,,0,,,,,
9595650,"Hexed (The Iron Druid Chronicles, #2)",Kevin Hearne,"Hearne, Kevin",,"=""0345522494""","=""9780345522498""",4,4.22,Del Rey,Mass Market Paperback,296,2011,2011,,2014/09/04,,,read,,,,1,,,0,,,,,
9533378,"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,"Hearne, Kevin",,"=""0345522478""","=""9780345522474""",4,4.08,Del Rey,Mass Market Paperback,304,2011,2011,,2014/09/04,,,read,,,,1,,,0,,,,,
9645260,"Dead Iron (Age of Steam, #1)",Devon Monk,"Monk, Devon",,"=""045146396X""","=""9780451463968""",0,3.59,Ace Books,Paperback,337,2011,2011,,2014/09/04,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
17879401,"The Black Guard (The Long War, #1)",A.J.   Smith,"Smith, A.J.",,"=""1781855625""","=""9781781855621""",0,3.77,Head of Zeus,Hardcover,640,2013,2013,,2014/09/04,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
15750692,"Malice (The Faithful and the Fallen, #1)",John Gwynne,"Gwynne, John",,"=""0230758452""","=""9780230758452""",0,4.15,Tor,Hardcover,672,2012,2012,,2014/09/04,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
